회사 이름,기업 형태,산업(업종),평균 연봉
에이치엔아이엔씨,"중견기업,법인사업체",IT·웹·통신                                (IT컨설팅)                            ,"5,762"
보쉬전장,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"7,940"
휴맥스,"코스닥,대기업,법인사업체",제조·화학                                (전자)                            ,"20,268"
현대자동차,"코스피,대기업, 1000대기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차)                            ,"8,793"
한국후지쯔,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (IT컨설팅)                            ,"7,098"
카카오,"코스닥,대기업, 1000대기업,외부감사법인,법인사업체",IT·웹·통신                                (종합포털)                            ,"10,308"
지누스,"코스피,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (가구)                            ,"18,557"
한국전력공사,"코스피,기타,외부감사법인,공사/공기업,비영리법인",건설업                                (전기설비)                            ,"8,371"
에스케이하이닉스,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체", ,"9,367"
부국증권,"코스피,대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (증권사)                            ,"20,641"
한국자산신탁,"코스피,주식회사,외부감사법인,금융기관,법인사업체",은행·금융업                                (자산관리)                            ,"10,956"
화승엔터프라이즈,"코스피,중견기업,법인사업체",제조·화학                                (잡화)                            ,"11,171"
현대위아,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"8,840"
극동건설(주),"중견기업, 1000대기업,주식회사,법인사업체",건설업                                (건설회사)                            ,"6,383"
씨젠,"코스닥,중소기업,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"11,459"
부산도시가스,"코스피,대기업, 1000대기업,외부감사법인,법인사업체",건설업                                (가스설비)                            ,"8,927"
현대비앤지스틸,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (철강)                            ,"7,363"
볼보그룹코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"7,565"
SBS,"코스피,대기업, 1000대기업,주식회사,외부감사법인,수출입 기업,법인사업체",미디어·디자인                                (공중파방송)                            ,"10,613"
현대모비스,"코스피,대기업, 1000대기업,외국인 투자기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"8,808"
진원생명과학,"코스피,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"14,190"
성도이엔지,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",건설업                                (시공사)                            ,"6,854"
케이티앤지,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"7,093"
케이비신용정보,"중견기업,외부감사법인,법인사업체",은행·금융업                                (캐피탈)                            ,"6,717"
우아한형제들,"중소기업, 스타트업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"5,918"
현대건설,"코스피,대기업, 1000대기업,주식회사,법인사업체",건설업                                (건설회사)                            ,"8,510"
해태제과식품,"코스피,중견기업,주식회사,수출입 기업,법인사업체",제조·화학                                (제과제빵)                            ,"5,080"
지에스건설,"코스피,대기업, 1000대기업,외부감사법인,주식회사,법인사업체",건설업                                (토목회사)                            ,"9,452"
삼성전자,"코스피,대기업, 1000대기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"11,980"
대상,"코스피,외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"5,666"
한국훼스토,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (정밀광학)                            ,"6,769"
롯데관광개발,"코스피,외부감사법인,법인사업체",서비스업                                (여행사)                            ,"2,288"
아우토크립트,"중소기업,주식회사,병역특례 인증업체,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"5,878"
호반건설,"주식회사,외부감사법인,법인사업체",건설업                                (토목회사)                            ,"6,157"
에스브이인베스트먼트,"코스닥,중소기업,금융기관,주식회사,법인사업체",은행·금융업                                (금융기관)                            ,"18,888"
한국무역협회,"기타,공사/공기업,비영리법인",미디어·디자인                                (광고대행사)                            ,"8,039"
인팩,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체", ,"5,076"
한국가스공사,"코스피,대기업,외부감사법인,공사/공기업,수출입 기업,비영리법인",건설업                                (가스설비)                            ,"8,319"
(주)한국태양광발전연구소,"중소기업,주식회사,법인사업체",제조/화학업                                                            ,"5,200"
신양금속공업,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (금속)                            ,"5,136"
한국특강,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (철강)                            ,"6,329"
종근당바이오,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"6,020"
(주)맨파워그룹코리아,"중견기업,법인사업체",서비스업                                                            ,"3,266"
카카오브이엑스,"대기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,458"
에프에스티,"코스닥,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,995"
도화엔지니어링,"코스피,중견기업, 1000대기업,주식회사,법인사업체",건설업                                (토목회사)                            ,"6,655"
쏘카,"중소기업, 스타트업,외부감사법인,주식회사,법인사업체", ,"4,567"
한양증권,"코스피,대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (증권사)                            ,"18,149"
세방리튬배터리(주),"중견기업,주식회사,법인사업체",제조·화학                                (전기)                            ,"4,310"
SK이노베이션,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (석유화학)                            ,"9,904"
모토닉,"코스피,1000대기업, 중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,787"
세원이앤씨,"코스피,1000대기업, 중견기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (금속)                            ,"5,601"
