조회연도,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2020,종로구,2,3,0,0,3,0
2020,중구,7,7,0,3,3,1
2020,용산구,8,8,0,3,4,1
2020,성동구,4,4,0,2,1,1
2020,동대문구,8,8,0,3,3,2
2020,성북구,13,13,0,0,12,1
2020,도봉구,9,9,0,1,8,0
2020,은평구,12,12,0,1,9,2
2020,서대문구,13,14,1,6,6,1
2020,마포구,5,5,0,2,3,0
2020,강서구,14,14,0,2,11,1
2020,구로구,16,16,0,5,10,1
2020,영등포구,14,14,0,3,9,2
2020,동작구,6,6,0,2,4,0
2020,관악구,13,14,0,3,10,1
2020,강남구,19,20,0,4,13,3
2020,강동구,17,17,0,5,9,3
2020,송파구,24,24,0,6,14,4
2020,서초구,9,9,0,0,8,1
2020,양천구,14,14,1,2,7,4
2020,중랑구,9,9,0,2,5,2
2020,노원구,11,11,0,1,10,0
2020,광진구,11,12,0,3,7,2
2020,강북구,8,8,0,1,4,3
2020,금천구,7,7,0,0,5,2
