title,company,location,apply_link
.NET or Java Software Architect,MHR,"Ruddington, UK",https://stackoverflow.com/jobs/525669
Chief Software Architect (m/f/d) - Enterprise Software Development,Deloitte Deutschland,"Düsseldorf, Deutschland",https://stackoverflow.com/jobs/556997
Cloud Engineering Architect,Intel Corporation,No office location,https://stackoverflow.com/jobs/530027
Cloud Software Architect (Microsoft Azure) (d/w/m),Inxmail GmbH,"Freiburg im Breisgau, Deutschland",https://stackoverflow.com/jobs/553456
Data Science Engineer / Architect (m/w/d),Generali AG,"Aachen, Deutschland",https://stackoverflow.com/jobs/559928
Deep Learning Software Architect,Intel Corporation,"Hillsboro, OR",https://stackoverflow.com/jobs/530196
Firmware/Software Architect,Intel Corporation,"Jerusalem, Israel",https://stackoverflow.com/jobs/539163
Lead User Interface Developer / Architect,"JPMorgan Chase Bank, N.A.","Jersey City, NJ",https://stackoverflow.com/jobs/559909
Remote Software Architect,O'Reilly Auto Parts,No office location,https://stackoverflow.com/jobs/560133
Security Software Developer/Architect,Intel Corporation,"Bengaluru, India",https://stackoverflow.com/jobs/539295
Senior .Net / C# Web Service Developer / Architect,MapLarge,"Atlanta, GA",https://stackoverflow.com/jobs/124860
Senior Cognos Developer/Architect,"JPMorgan Chase Bank, N.A.","Glasgow, UK",https://stackoverflow.com/jobs/561392
Senior Software Architect,ECI Software Solutions,No office location,https://stackoverflow.com/jobs/560455
Senior Software Architect - AWS Cloud/Java/Spring/Microservices,"JPMorgan Chase Bank, N.A.","Jersey City, NJ",https://stackoverflow.com/jobs/558833
Senior Software Architect (US REMOTE),Thycotic,No office location,https://stackoverflow.com/jobs/552174
Senior Software Architect .NET (m/f),MED-EL Medical Electronics,"Innsbruck, Österreich",https://stackoverflow.com/jobs/531120
Software Architect,Intel Corporation,"Hillsboro, OR",https://stackoverflow.com/jobs/531586
Software Architect,Intel Corporation,"Hillsboro, OR",https://stackoverflow.com/jobs/531004
Software Architect,Derivco.,"Umhlanga, South Africa",https://stackoverflow.com/jobs/528637
"Software Architect - Data Systems (REMOTE, East Coast)","Amobee, Inc","Baltimore, MD",https://stackoverflow.com/jobs/528509
Software Architect (Django/Flask + React),Self Decode,No office location,https://stackoverflow.com/jobs/307459
Software Architect / Code Reviewer / Mentor - Part-time,Arcanys,No office location,https://stackoverflow.com/jobs/485542
Software Architect Product Development,ti&m AG,"Zürich, Schweiz",https://stackoverflow.com/jobs/522306
Software Engineer - Architect,"JPMorgan Chase Bank, N.A.","Glasgow, UK",https://stackoverflow.com/jobs/558629
Software Engineering VP -  Lead Software Architect,"JPMorgan Chase Bank, N.A.","Tampa, FL",https://stackoverflow.com/jobs/560052
Software Quality Assurance Engineer* / Software QA Engineer*,Software AG,"Saarbrücken, Deutschland",https://stackoverflow.com/jobs/555632
